State,Population
AL,5054136
AK,733970
AZ,7640796
AR,3113750
CA,39529239
CO,5812069
CT,3614000
DE,1010000
FL,22051400
GA,10935200
HI,1460000
ID,1900000
IL,12623000
IN,6813000
IA,3178565
KS,2940000
KY,4516300
LA,4661454
ME,1350000
MD,6196100
MA,7049000
MI,10070000
MN,5732000
MS,2973600
MO,6169654
MT,1095623
NE,1969400
NV,3209200
NH,1380000
NJ,9328982
NM,2110000
NC,19521000
ND,780502
OH,11825500
OK,3978000
OR,4253544
PA,12964169
RI,1100000
SC,5305950
SD,906355
TN,6941406
TX,29433930
UT,3302200
VT,645570
VA,8653591
WA,7729400
WV,1784784
WI,5923171
WY,577719
NY,19854526
